LED,	LDR,	Volts
0,	3,	0.0146484375
1,	3,	0.0146484375
2,	50,	0.244140625
3,	80,	0.390625
4,	104,	0.5078125
5,	126,	0.615234375
6,	145,	0.7080078125
7,	162,	0.791015625
8,	178,	0.869140625
9,	192,	0.9375
10,	207,	1.0107421875
11,	219,	1.0693359375
12,	232,	1.1328125
13,	243,	1.1865234375
14,	257,	1.2548828125
15,	266,	1.298828125
16,	275,	1.3427734375
17,	285,	1.3916015625
18,	295,	1.4404296875
19,	303,	1.4794921875
20,	312,	1.5234375
21,	319,	1.5576171875
22,	328,	1.6015625
23,	335,	1.6357421875
24,	343,	1.6748046875
25,	350,	1.708984375
26,	356,	1.73828125
27,	363,	1.7724609375
28,	369,	1.8017578125
29,	375,	1.8310546875
30,	384,	1.875
31,	390,	1.904296875
32,	393,	1.9189453125
33,	399,	1.9482421875
34,	404,	1.97265625
35,	409,	1.9970703125
36,	414,	2.021484375
37,	419,	2.0458984375
38,	424,	2.0703125
39,	429,	2.0947265625
40,	434,	2.119140625
41,	438,	2.138671875
42,	442,	2.158203125
43,	446,	2.177734375
44,	451,	2.2021484375
45,	454,	2.216796875
46,	461,	2.2509765625
47,	465,	2.2705078125
48,	469,	2.2900390625
49,	471,	2.2998046875
50,	474,	2.314453125
51,	478,	2.333984375
52,	481,	2.3486328125
53,	485,	2.3681640625
54,	488,	2.3828125
55,	492,	2.40234375
56,	495,	2.4169921875
57,	498,	2.431640625
58,	501,	2.4462890625
59,	504,	2.4609375
60,	507,	2.4755859375
61,	509,	2.4853515625
62,	513,	2.5048828125
63,	518,	2.529296875
64,	521,	2.5439453125
65,	524,	2.55859375
66,	527,	2.5732421875
67,	527,	2.5732421875
68,	530,	2.587890625
69,	533,	2.6025390625
70,	535,	2.6123046875
71,	538,	2.626953125
72,	540,	2.63671875
73,	542,	2.646484375
74,	545,	2.6611328125
75,	547,	2.6708984375
76,	549,	2.6806640625
77,	551,	2.6904296875
78,	553,	2.7001953125
79,	559,	2.7294921875
80,	561,	2.7392578125
81,	563,	2.7490234375
82,	566,	2.763671875
83,	567,	2.7685546875
84,	567,	2.7685546875
85,	569,	2.7783203125
86,	571,	2.7880859375
87,	573,	2.7978515625
88,	575,	2.8076171875
89,	577,	2.8173828125
90,	578,	2.822265625
91,	580,	2.83203125
92,	583,	2.8466796875
93,	585,	2.8564453125
94,	586,	2.861328125
95,	590,	2.880859375
96,	592,	2.890625
97,	594,	2.900390625
98,	596,	2.91015625
99,	598,	2.919921875
100,	599,	2.9248046875
101,	599,	2.9248046875
102,	600,	2.9296875
103,	602,	2.939453125
104,	603,	2.9443359375
105,	605,	2.9541015625
106,	606,	2.958984375
107,	610,	2.978515625
108,	612,	2.98828125
109,	614,	2.998046875
110,	616,	3.0078125
111,	614,	2.998046875
112,	616,	3.0078125
113,	617,	3.0126953125
114,	618,	3.017578125
115,	619,	3.0224609375
116,	624,	3.046875
117,	626,	3.056640625
118,	627,	3.0615234375
119,	629,	3.0712890625
120,	630,	3.076171875
121,	628,	3.06640625
122,	629,	3.0712890625
123,	631,	3.0810546875
124,	632,	3.0859375
125,	633,	3.0908203125
126,	637,	3.1103515625
127,	639,	3.1201171875
128,	640,	3.125
129,	642,	3.134765625
130,	642,	3.134765625
131,	641,	3.1298828125
132,	642,	3.134765625
133,	643,	3.1396484375
134,	644,	3.14453125
135,	648,	3.1640625
136,	649,	3.1689453125
137,	650,	3.173828125
138,	652,	3.18359375
139,	653,	3.1884765625
140,	655,	3.1982421875
141,	653,	3.1884765625
142,	654,	3.193359375
143,	655,	3.1982421875
144,	656,	3.203125
145,	659,	3.2177734375
146,	661,	3.2275390625
147,	661,	3.2275390625
148,	663,	3.2373046875
149,	664,	3.2421875
150,	665,	3.2470703125
151,	663,	3.2373046875
152,	664,	3.2421875
153,	665,	3.2470703125
154,	669,	3.2666015625
155,	670,	3.271484375
156,	671,	3.2763671875
157,	672,	3.28125
158,	673,	3.2861328125
159,	674,	3.291015625
160,	675,	3.2958984375
161,	673,	3.2861328125
162,	674,	3.291015625
163,	674,	3.291015625
164,	678,	3.310546875
165,	679,	3.3154296875
166,	680,	3.3203125
167,	681,	3.3251953125
168,	682,	3.330078125
169,	684,	3.33984375
170,	681,	3.3251953125
171,	682,	3.330078125
172,	683,	3.3349609375
173,	683,	3.3349609375
174,	687,	3.3544921875
175,	688,	3.359375
176,	689,	3.3642578125
177,	689,	3.3642578125
178,	691,	3.3740234375
179,	691,	3.3740234375
180,	690,	3.369140625
181,	690,	3.369140625
182,	690,	3.369140625
183,	695,	3.3935546875
184,	696,	3.3984375
185,	696,	3.3984375
186,	697,	3.4033203125
187,	698,	3.408203125
188,	698,	3.408203125
189,	700,	3.41796875
190,	698,	3.408203125
191,	698,	3.408203125
192,	698,	3.408203125
193,	702,	3.427734375
194,	703,	3.4326171875
195,	704,	3.4375
196,	704,	3.4375
197,	705,	3.4423828125
198,	706,	3.447265625
199,	707,	3.4521484375
200,	705,	3.4423828125
201,	705,	3.4423828125
202,	708,	3.45703125
203,	710,	3.466796875
204,	710,	3.466796875
205,	710,	3.466796875
206,	712,	3.4765625
207,	713,	3.4814453125
208,	713,	3.4814453125
209,	713,	3.4814453125
210,	712,	3.4765625
211,	711,	3.4716796875
212,	716,	3.49609375
213,	716,	3.49609375
214,	717,	3.5009765625
215,	717,	3.5009765625
216,	717,	3.5009765625
217,	718,	3.505859375
218,	720,	3.515625
219,	720,	3.515625
220,	718,	3.505859375
221,	721,	3.5205078125
222,	721,	3.5205078125
223,	723,	3.5302734375
224,	723,	3.5302734375
225,	724,	3.53515625
226,	725,	3.5400390625
227,	724,	3.53515625
228,	725,	3.5400390625
229,	725,	3.5400390625
230,	724,	3.53515625
231,	727,	3.5498046875
232,	728,	3.5546875
233,	728,	3.5546875
234,	729,	3.5595703125
235,	729,	3.5595703125
236,	730,	3.564453125
237,	730,	3.564453125
238,	732,	3.57421875
239,	732,	3.57421875
240,	729,	3.5595703125
241,	733,	3.5791015625
242,	733,	3.5791015625
243,	733,	3.5791015625
244,	735,	3.5888671875
245,	735,	3.5888671875
246,	736,	3.59375
247,	736,	3.59375
248,	737,	3.5986328125
249,	737,	3.5986328125
250,	738,	3.603515625
251,	738,	3.603515625
252,	738,	3.603515625
253,	739,	3.6083984375
254,	740,	3.61328125
255,	740,	3.61328125

