PWM,	ADC 0 to 1024,	Volts,	lux
0,	2,	0.009765625,	0.0015958195
1,	14,	0.068359375,	0.0272282088
2,	33,	0.1611328125,	0.0969576472
3,	56,	0.2734375,	0.2158603265
4,	77,	0.3759765625,	0.3534967077
5,	97,	0.4736328125,	0.509486053
6,	116,	0.56640625,	0.6803579883
7,	135,	0.6591796875,	0.8739853255
8,	152,	0.7421875,	1.0673234428
9,	168,	0.8203125,	1.2674624641
10,	183,	0.8935546875,	1.4719111751
11,	197,	0.9619140625,	1.6781779812
12,	211,	1.0302734375,	1.9001524699
13,	224,	1.09375,	2.1210871611
14,	236,	1.15234375,	2.3383603645
15,	248,	1.2109375,	2.56910073
16,	259,	1.2646484375,	2.7930445103
17,	269,	1.3134765625,	3.0074560374
18,	280,	1.3671875,	3.2558000438
19,	290,	1.416015625,	3.4934731446
20,	299,	1.4599609375,	3.7175369932
21,	307,	1.4990234375,	3.925137115
22,	316,	1.54296875,	4.1685801272
23,	324,	1.58203125,	4.3941355856
24,	332,	1.62109375,	4.6286800779
25,	340,	1.66015625,	4.8725855995
26,	347,	1.6943359375,	5.093990332
27,	355,	1.7333984375,	5.3565246962
28,	361,	1.7626953125,	5.5603257703
29,	368,	1.796875,	5.8058535448
30,	374,	1.826171875,	6.0231886809
31,	379,	1.8505859375,	6.2093158971
32,	387,	1.8896484375,	6.5169391246
33,	393,	1.9189453125,	6.7558730883
34,	400,	1.953125,	7.0438888336
35,	404,	1.97265625,	7.2130931588
36,	410,	2.001953125,	7.4734138804
37,	415,	2.0263671875,	7.6964952721
38,	418,	2.041015625,	7.8331008181
39,	425,	2.0751953125,	8.1601287586
40,	430,	2.099609375,	8.4010335823
41,	436,	2.12890625,	8.6984595116
42,	439,	2.1435546875,	8.8506822335
43,	445,	2.1728515625,	9.1623653142
44,	448,	2.1875,	9.3219160711
45,	451,	2.2021484375,	9.4840017244
46,	457,	2.2314453125,	9.8159707989
47,	461,	2.2509765625,	10.0432196546
48,	465,	2.2705078125,	10.2753601116
49,	469,	2.2900390625,	10.5125190433
50,	474,	2.314453125,	10.8162250972
51,	478,	2.333984375,	11.0651617144
52,	479,	2.3388671875,	11.1282435251
53,	484,	2.36328125,	11.4488514713
54,	488,	2.3828125,	11.7117161096
55,	491,	2.3974609375,	11.9126857158
56,	494,	2.412109375,	12.1170046643
57,	498,	2.431640625,	12.3947587866
58,	503,	2.4560546875,	12.7507522958
59,	503,	2.4560546875,	12.7507522958
60,	508,	2.48046875,	13.1168428547
61,	511,	2.4951171875,	13.3414910426
62,	513,	2.5048828125,	13.4933860614
63,	516,	2.51953125,	13.7244831906
64,	520,	2.5390625,	14.0388179473
65,	524,	2.55859375,	14.3604314039
66,	524,	2.55859375,	14.3604314039
67,	529,	2.5830078125,	14.7730061482
68,	531,	2.5927734375,	14.941408517
69,	533,	2.6025390625,	15.111780296
70,	536,	2.6171875,	15.3710940043
71,	539,	2.6318359375,	15.6350039515
72,	542,	2.646484375,	15.9036128618
73,	543,	2.6513671875,	15.9942115554
74,	546,	2.666015625,	16.2692506372
75,	550,	2.685546875,	16.6436892405
76,	550,	2.685546875,	16.6436892405
77,	553,	2.7001953125,	16.9304551563
78,	556,	2.71484375,	17.2224399741
79,	559,	2.7294921875,	17.5197644965
80,	559,	2.7294921875,	17.5197644965
81,	563,	2.7490234375,	17.9247189113
82,	567,	2.7685546875,	18.3396928293
83,	566,	2.763671875,	18.2349928771
84,	569,	2.7783203125,	18.5510358054
85,	572,	2.79296875,	18.8729849721
86,	574,	2.802734375,	19.0909686718
87,	574,	2.802734375,	19.0909686718
88,	578,	2.822265625,	19.5351721833
89,	581,	2.8369140625,	19.8757063119
90,	579,	2.8271484375,	19.6479711405
91,	583,	2.8466796875,	20.1063297118
92,	585,	2.8564453125,	20.339888443
93,	587,	2.8662109375,	20.5764305891
94,	588,	2.87109375,	20.6958357433
95,	591,	2.8857421875,	21.0586625171
96,	594,	2.900390625,	21.4285406085
97,	593,	2.8955078125,	21.3044536002
98,	596,	2.91015625,	21.679130744
99,	599,	2.9248046875,	22.06115793
100,	600,	2.9296875,	22.1901658126
101,	601,	2.9345703125,	22.3200181658
102,	603,	2.9443359375,	22.5822849603
103,	606,	2.958984375,	22.9821999555
104,	604,	2.94921875,	22.7147139337
105,	608,	2.96875,	23.2532402488
106,	611,	2.9833984375,	23.6665995469
107,	611,	2.9833984375,	23.6665995469
108,	612,	2.98828125,	23.8062304526
109,	615,	3.0029296875,	24.2307693945
110,	617,	3.0126953125,	24.5185831425
111,	616,	3.0078125,	24.3741919066
112,	619,	3.0224609375,	24.8103059422
113,	622,	3.037109375,	25.2553715812
114,	622,	3.037109375,	25.2553715812
115,	623,	3.0419921875,	25.4057573669
116,	626,	3.056640625,	25.8631339617
117,	627,	3.0615234375,	26.017696962
118,	626,	3.056640625,	25.8631339617
119,	629,	3.0712890625,	26.3300361909
120,	632,	3.0859375,	26.8067243832
121,	631,	3.0810546875,	26.6467245492
122,	633,	3.0908203125,	26.9678414069
123,	636,	3.10546875,	27.4579983225
124,	636,	3.10546875,	27.4579983225
125,	636,	3.10546875,	27.4579983225
126,	638,	3.115234375,	27.7905459568
127,	641,	3.1298828125,	28.2982471733
128,	640,	3.125,	28.1278148207
129,	642,	3.134765625,	28.4698930457
130,	645,	3.1494140625,	28.992225916
131,	646,	3.154296875,	29.1688406868
132,	644,	3.14453125,	28.8168708674
133,	648,	3.1640625,	29.5258971337
134,	649,	3.1689453125,	29.7063630399
135,	649,	3.1689453125,	29.7063630399
136,	650,	3.173828125,	29.8881371328
137,	654,	3.193359375,	30.6285673703
138,	654,	3.193359375,	30.6285673703
139,	653,	3.1884765625,	30.4414341463
140,	657,	3.2080078125,	31.1982532181
141,	657,	3.2080078125,	31.1982532181
142,	656,	3.203125,	31.0069635557
143,	658,	3.212890625,	31.3909553361
144,	661,	3.2275390625,	31.9776749552
145,	662,	3.232421875,	32.1761662938
146,	661,	3.2275390625,	31.9776749552
147,	664,	3.2421875,	32.5776127134
148,	665,	3.2470703125,	32.7805972793
149,	664,	3.2421875,	32.5776127134
150,	666,	3.251953125,	32.9851093832
151,	668,	3.26171875,	33.3987772501
152,	669,	3.2666015625,	33.6079640222
153,	668,	3.26171875,	33.3987772501
154,	672,	3.28125,	34.2451259375
155,	672,	3.28125,	34.2451259375
156,	671,	3.2763671875,	34.0311222582
157,	673,	3.2861328125,	34.4607678141
158,	675,	3.2958984375,	34.897032903
159,	676,	3.30078125,	35.1176900294
160,	675,	3.2958984375,	34.897032903
161,	679,	3.3154296875,	35.7899678946
162,	679,	3.3154296875,	35.7899678946
163,	677,	3.3056640625,	35.3400531883
164,	681,	3.3251953125,	36.2469199218
165,	682,	3.330078125,	36.478080621
166,	682,	3.330078125,	36.478080621
167,	682,	3.330078125,	36.478080621
168,	685,	3.3447265625,	37.1825266325
169,	686,	3.349609375,	37.4210606204
170,	683,	3.3349609375,	36.7110559639
171,	689,	3.3642578125,	38.1480946564
172,	688,	3.359375,	37.9038245114
173,	688,	3.359375,	37.9038245114
174,	688,	3.359375,	37.9038245114
175,	691,	3.3740234375,	38.6425140002
176,	691,	3.3740234375,	38.6425140002
177,	690,	3.369140625,	38.3943175497
178,	694,	3.388671875,	39.3991570616
179,	694,	3.388671875,	39.3991570616
180,	694,	3.388671875,	39.3991570616
181,	695,	3.3935546875,	39.6554615673
182,	697,	3.4033203125,	40.1743390024
183,	697,	3.4033203125,	40.1743390024
184,	696,	3.3984375,	39.9138480204
185,	700,	3.41796875,	40.9686696652
186,	700,	3.41796875,	40.9686696652
187,	699,	3.4130859375,	40.7017264499
188,	701,	3.4228515625,	41.2378109199
189,	702,	3.427734375,	41.5091744151
190,	703,	3.4326171875,	41.7827846922
191,	701,	3.4228515625,	41.2378109199
192,	705,	3.4423828125,	42.336845498
193,	705,	3.4423828125,	42.336845498
194,	704,	3.4375,	42.0586666396
195,	707,	3.4521484375,	42.9001967095
196,	707,	3.4521484375,	42.9001967095
197,	708,	3.45703125,	43.185421362
198,	706,	3.447265625,	42.6173468666
199,	710,	3.466796875,	43.7631023319
200,	710,	3.466796875,	43.7631023319
201,	709,	3.4619140625,	43.4730475371
202,	712,	3.4765625,	44.3506081318
203,	713,	3.4814453125,	44.6481153142
204,	713,	3.4814453125,	44.6481153142
205,	712,	3.4765625,	44.3506081318
206,	715,	3.4912109375,	45.2507817673
207,	715,	3.4912109375,	45.2507817673
208,	713,	3.4814453125,	44.6481153142
209,	717,	3.5009765625,	45.8638472994
210,	717,	3.5009765625,	45.8638472994
211,	718,	3.505859375,	46.1743549605
212,	718,	3.505859375,	46.1743549605
213,	719,	3.5107421875,	46.487553571
214,	720,	3.515625,	46.8034744667
215,	717,	3.5009765625,	45.8638472994
216,	722,	3.525390625,	47.4436108002
217,	722,	3.525390625,	47.4436108002
218,	722,	3.525390625,	47.4436108002
219,	723,	3.5302734375,	47.7678912781
220,	724,	3.53515625,	48.0950241394
221,	724,	3.53515625,	48.0950241394
222,	722,	3.525390625,	47.4436108002
223,	726,	3.544921875,	48.7579825516
224,	726,	3.544921875,	48.7579825516
225,	726,	3.544921875,	48.7579825516
226,	728,	3.5546875,	49.4327622865
227,	728,	3.5546875,	49.4327622865
228,	729,	3.5595703125,	49.7746737903
229,	727,	3.5498046875,	49.0938771602
230,	730,	3.564453125,	50.119648082
231,	730,	3.564453125,	50.119648082
232,	730,	3.564453125,	50.119648082
233,	732,	3.57421875,	50.8189334847
234,	732,	3.57421875,	50.8189334847
235,	733,	3.5791015625,	51.1733202627
236,	732,	3.57421875,	50.8189334847
237,	734,	3.583984375,	51.5309211842
238,	734,	3.583984375,	51.5309211842
239,	734,	3.583984375,	51.5309211842
240,	735,	3.5888671875,	51.8917755712
241,	736,	3.59375,	52.2559233619
242,	736,	3.59375,	52.2559233619
243,	737,	3.5986328125,	52.6234051219
244,	738,	3.603515625,	52.9942620569
245,	738,	3.603515625,	52.9942620569
246,	739,	3.6083984375,	53.3685360247
247,	739,	3.6083984375,	53.3685360247
248,	740,	3.61328125,	53.7462695479
249,	740,	3.61328125,	53.7462695479
250,	741,	3.6181640625,	54.1275058266
251,	741,	3.6181640625,	54.1275058266
252,	742,	3.623046875,	54.5122887522
253,	742,	3.623046875,	54.5122887522
254,	743,	3.6279296875,	54.9006629202
255,	743,	3.6279296875,	54.9006629202

